Gender,FCVC,Weight,CALC,FAVC,Height,CH2O,NObeyesdad
1,2.0,64.0,0,0,1.62,2.0,1
1,3.0,56.0,1,0,1.52,3.0,1
0,2.0,77.0,3,0,1.8,2.0,1
0,3.0,87.0,3,0,1.8,2.0,5
0,2.0,89.8,1,0,1.78,2.0,6
0,2.0,53.0,1,1,1.62,2.0,1
1,3.0,55.0,1,1,1.5,2.0,1
0,2.0,53.0,1,0,1.64,2.0,1
0,3.0,64.0,3,1,1.78,2.0,1
0,2.0,68.0,0,1,1.72,2.0,1
0,3.0,105.0,1,1,1.85,3.0,2
1,2.0,80.0,1,1,1.72,2.0,6
0,3.0,56.0,1,0,1.65,3.0,1
0,2.0,99.0,3,1,1.8,2.0,2
0,3.0,60.0,1,1,1.77,1.0,1
1,3.0,66.0,1,0,1.7,2.0,1
0,2.0,102.0,1,1,1.93,1.0,6
1,2.0,78.0,0,1,1.53,2.0,2
1,3.0,82.0,0,1,1.71,1.0,6
1,2.0,70.0,1,0,1.65,2.0,5
0,2.0,80.0,0,0,1.65,2.0,6
1,3.0,87.0,0,1,1.69,2.0,2
1,3.0,60.0,1,1,1.65,2.0,1
1,1.0,82.0,1,1,1.6,2.0,2
0,2.0,68.0,1,1,1.85,2.0,1
0,2.0,50.0,0,0,1.6,2.0,1
0,2.0,65.0,6,1,1.7,2.0,1
1,2.0,52.0,1,1,1.6,2.0,1
0,3.0,76.0,1,1,1.75,2.0,1
0,2.0,70.0,3,1,1.68,2.0,1
0,1.0,83.0,0,1,1.77,3.0,5
1,2.0,68.0,1,0,1.58,1.0,6
1,2.0,76.0,1,0,1.77,3.0,1
0,2.0,90.0,1,0,1.79,2.0,6
0,2.0,62.0,1,1,1.65,2.0,1
1,2.0,65.0,1,0,1.5,2.0,6
1,2.0,49.0,0,1,1.56,1.0,1
1,2.0,48.0,1,1,1.6,1.0,1
0,2.0,67.0,1,1,1.65,2.0,1
1,2.0,88.0,1,1,1.75,3.0,6
1,2.0,75.0,1,1,1.67,2.0,5
0,2.0,60.0,0,0,1.68,2.0,1
1,1.0,64.0,0,1,1.66,1.0,1
0,2.0,62.0,3,1,1.66,2.0,1
0,1.0,80.0,0,0,1.81,2.0,1
1,2.0,65.0,0,0,1.53,1.0,6
0,1.0,72.0,1,1,1.82,3.0,1
0,1.0,72.0,1,1,1.75,3.0,1
1,3.0,60.0,1,0,1.66,2.0,1
1,2.0,50.0,1,1,1.55,2.0,1
1,3.0,54.5,1,1,1.61,3.0,1
1,2.0,44.0,1,1,1.5,1.0,1
1,3.0,52.0,0,1,1.64,2.0,1
1,3.0,55.0,0,0,1.63,2.0,1
1,3.0,55.0,0,0,1.6,3.0,1
0,2.0,62.0,1,0,1.68,2.0,1
0,2.0,70.0,1,1,1.7,1.0,1
0,2.0,65.0,0,0,1.64,1.0,1
1,3.0,67.0,0,1,1.65,2.0,1
0,2.0,55.0,0,1,1.76,3.0,0
1,2.0,49.0,1,1,1.55,3.0,1
0,2.0,58.0,1,1,1.65,2.0,1
0,2.0,62.0,1,1,1.67,2.0,1
0,2.0,55.0,1,1,1.68,2.0,1
1,2.0,57.0,0,1,1.66,1.0,1
1,1.0,69.0,0,1,1.62,2.0,5
0,1.0,90.0,3,1,1.8,2.0,6
0,2.0,95.0,3,1,1.65,2.0,2
0,1.0,112.0,3,1,1.76,2.0,3
0,2.0,60.0,1,0,1.8,3.0,1
1,2.0,80.0,0,1,1.65,2.0,6
1,3.0,50.0,1,0,1.67,3.0,0
1,2.0,60.0,0,0,1.65,3.0,1
0,2.0,65.0,1,0,1.85,3.0,1
0,2.0,85.0,3,1,1.7,3.0,6
1,3.0,45.0,0,0,1.63,3.0,0
1,2.0,45.0,0,0,1.6,2.0,0
1,2.0,80.0,0,1,1.7,3.0,6
1,2.0,90.0,0,1,1.65,3.0,2
0,2.0,60.0,1,0,1.65,2.0,1
1,3.0,58.0,0,0,1.63,2.0,1
0,2.0,91.0,1,1,1.8,2.0,6
0,2.0,85.5,0,1,1.67,2.0,2
1,3.0,45.0,0,0,1.6,3.0,0
0,2.0,83.0,1,1,1.7,2.0,6
0,2.0,58.5,0,0,1.65,2.0,1
0,2.0,83.0,0,1,1.85,3.0,1
0,2.0,87.0,0,1,1.82,2.0,5
1,2.0,65.0,0,1,1.65,2.0,1
1,3.0,78.0,3,1,1.7,1.0,6
1,3.0,93.0,0,0,1.63,1.0,3
1,3.0,64.0,3,0,1.61,2.0,1
0,3.0,84.0,3,0,1.78,3.0,5
1,3.0,57.0,0,0,1.6,2.0,1
1,3.0,48.0,0,1,1.6,2.0,1
0,3.0,70.0,3,0,1.7,2.0,1
1,2.0,60.0,1,0,1.66,2.0,1
1,3.0,42.0,1,0,1.52,1.0,0
1,3.0,42.0,1,0,1.52,1.0,0
0,2.0,70.0,3,0,1.72,2.0,1
1,3.0,63.0,1,1,1.69,1.0,1
0,2.0,66.4,0,0,1.7,2.0,1
1,2.0,57.0,1,1,1.55,2.0,1
1,3.0,58.0,1,1,1.65,2.0,1
1,2.0,80.0,1,1,1.56,2.0,2
1,2.0,55.0,1,1,1.57,2.0,1
